0.401;29.519999
0.901;29.713999
1.402;30.006
1.901;30.594
2.401;31.476002
2.901;32.357998
3.42;33.722004
3.917;34.406
4.419;35.484
4.918;36.464
5.418;36.660004
5.917;37.825996
6.418;38.414
6.918;38.708
7.435;39.491997
7.934;40.472004
8.435;40.276
8.934;41.252003
9.434;41.54
9.935;41.932
10.435;42.814003
10.952;43.01
11.451;43.892006
11.951;44.284
12.451;43.892002
12.951;44.968
13.451;44.97
13.953;44.97
14.469;45.356
14.968;45.842003
15.468;45.256
15.968;46.135998
16.468;46.234
16.968;46.429996
17.468;46.626
17.985;47.017998
18.485;47.017998
18.985;47.312004
19.485;47.312
19.984;47.508003
20.485;47.801994
20.986;47.508003
21.501;48.096
22.002;48.096
22.501;47.802002
23.001;48.194
23.506;48.096
24.0;48.194
24.516;48.488
25.017;48.292
25.516;48.586002
26.018;48.782
26.517;48.586002
27.017;49.168
27.517;48.878002
28.034;48.976
28.535;49.556004
29.033;49.46
29.533;49.85
30.034;50.144
30.534;49.852
31.034;50.34
31.534;50.241997
32.05;49.074
32.551;49.168003
33.051;48.780003
33.549;47.9
34.05;47.9
34.551;47.41
